;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
673;3491;022X.122090;BBCSO/CO/ORLS;0 à 50 km;Traité;06/11/2023;avenue Jean Zay, 45000 ORLEANS;47,9042325;1,9168476
674;598;B09X.PS0513;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;21/08/2017;Avenue Hergé, 77700 CHESSY;48,8619557;2,7848435
675;756;BZNX.222111;BZ/GCI;Zone IDF 0 à 50 km;Archivé;07/08/2017;Place des Passagers du Vent, Gare RER de Chessy , 77700 Marne La Vallée Chessy ;48,8929;2,7967
677;187;SQU680000;BBGO/SQU;101 à 150 km;Archivé;15/02/2016;L'auraire, 79350 FAYE L ABBESSE;46,8347784;-0,398842
682;2447;024X.PNA21B;BBGO/PDL/Nantes;51 à 100 km;Archivé;01/03/2021;Rue de Toutlemonde, 49300 CHOLET;47,0666836;-0,8424
687;2929;T3B IVV2200001;BY TP/TPRP;Zone IDF 0 à 50 km;Traité;01/03/2022;7 rue du Clos Montholon, 92170 VANVES;48,8150998;2,276505
688;2184;Z32X.PO0159;IEP/IEP;0 à 50 km;Archivé;05/01/2021;2 Rue du Lieutenant Raoul Batany , 92140 CLAMART;48,8128844;2,2559779
689;2198;833X.370639;BYES T&D;0 à 50 km;Archivé;01/09/2020;Route du vieux Cimetière, 92140 CLAMART;48,7951515;2,2535958
690;1032;BZNX.225170;HAS/HAS REHA;0 à 50 km;Archivé;05/03/2018;1 à 12 place du chemin de ronde, 78340 LES CLAYES SOUS BOIS;48,8203604;1,9707781
691;3768;024X.HTS23C;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Traité;04/09/2023;Rue Marie-Louise et Raymond Boucher, 76410 CLEON;49,3124;1,0295
693;2793;020X.131020;BBSE/OF/OF RAAU;151 à 200 km;Archivé;25/04/2022;Boulevard St Jean, 63000 CLERMONT FERRAND;45,7782897;3,1171574
696;2355;020X.631040;BBSE/HR/HR RAAU;151 à 200 km;Traité;03/10/2022;22 rue bansac , 63000 CLERMONT FERRAND;45,7776461;3,0913978
697;3402;020X.632030;BBSE/HR/HR RAAU;151 à 200 km;Traité;03/04/2023;rue niel, 63000 CLERMONT FERRAND;45,7813356;3,1043673
698;3758;570X.vs2305;TP RF/VSL FR;151 à 200 km;Traité;03/07/2023;rue du pont saint Jacques , en face du 35, 63000 CLERMONT FERRAND;45,77966;3,08628
699;3176;020X.631020;BBSE/HR/HR RAAU;151 à 200 km;Traité;03/10/2022;21 bld robert schuman , 63000 CLERMONT FERRAND;45,7797;3,0863
702;1575;TTPX.780295;BY TP/TPRP;Zone IDF 0 à 50 km;Archivé;07/01/2019;1 rue du Port, 92110 CLICHY;48,906259;2,297705
703;624;221108;BZ/BAT;0 à 50 km;Archivé;22/10/2016;1 route d'asniere, 92110 Clichy;48,9002;2,3095
704;1003;B33X.PR0183;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;03/09/2018;29bis, 31, et 31bis  Rue Casteres, 92110 CLICHY;48,9002083;2,3021155
705;516;B33X.PR0174;HAR/HAR/HAR;0 à 50 km;Archivé;08/01/2018;5- 7 Rue Huntziger, 26 Rue Casteres, 92110 Clichy;48,9002083;2,3021155
706;1594;B08X.PR0209;HAR/HAR/HAR;0 à 50 km;Archivé;01/09/2020;23 Rue Madame de Sanzillon , ou Rue Georges Boisseau , 92110 CLICHY;48,9002;2,3095
707;136;PR0126;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;06/06/2016;Rue paul dupont, 92110 Clichy;48,9046305;2,2936567
711;2823;B09X.PS0605;HAS/HAS NEUF;0 à 50 km;Traité;01/03/2022;2 Allée Maurice Audin , 93390 CLICHY SOUS BOIS;48,9086171;2,5405158
712;2824;B09X.PS0606;HAS/HAS NEUF;0 à 50 km;Traité;02/05/2022;10 Allée Jean Jaurès, 93390 CLICHY SOUS BOIS;48,9059103;2,5441101
713;1557;BZNX.221141;BZ/BAT;0 à 50 km;Archivé;08/04/2019;RUE DE PARIS, 92110 CLICHY;48,8964359;2,3085907
714;623;221107;BZ/BAT;0 à 50 km;Archivé;01/11/2018;28 boulevard victor hugo, 92110 Clichy;48,898097;2,311953
715;3481;Z32X.PO0231;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;25/12/2023;7-9 rue Petit, 92110 CLICHY;48,9001545;2,2953571
718;1451;024X.BNA804;BBGO/PDL/Nantes;0 à 50 km;Archivé;04/03/2019;10 route de la Blairie, Collège Rosa Parks, 44190 CLISSON;47,0622;-1,3078
719;834;024X.BNA707;BBGO/PDL/Nantes;0 à 50 km;Traité;03/01/2018;22 Côte Saint Sébastien, 44000 NANTES;47,1992441;-1,5371485
721;524;IPN703;BBGO/Indus;0 à 50 km;Archivé;09/05/2017;Rue de la garenne de melleville, 27930 GUICHAINVILLE;49,0832;1,2073
722;3615;EXTX.416428;COLAS/COLAS;0 à 50 km;Traité;14/03/2023;RN 118, 91692 ULIS;53,7591508;11,4512865
723;1329;600002099;COLAS/COLAS;0 à 50 km;Archivé;17/09/2018;Les Ardrets, 91220 BRETIGNY SUR ORGE;48,6030189;2,309431
724;1090;EXTX.931650;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/02/2018;4 Rue André BLANC-LAPIERRE, 91190 GIF SUR YVETTE;48,7114776;2,1618138
725;1097;EXTX.931620;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;30/03/2018;Rue EMMY NOETHER, 93400 ST OUEN;48,9041186;2,32249
726;1098;EXTX.931660;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/05/2018;Avenue Irène et Frédéric JOLIOT CURIE, 91130 RIS ORANGIS;48,6401092;2,3999366
727;1332;EXTX.931705;COLAS/COLAS;0 à 50 km;Archivé;25/09/2018;Rue Nelson Mandela, 94140 ALFORTVILLE;48,7839529;2,4244566
729;1111;EXTX.931655;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/05/2018;13 Rue Maurice LABROUSSE, 92160 ANTONY;48,7544986;2,2983175
731;839;EXT 931495;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;30/08/2017;180, rue Pelleport, 75020 PARIS 20;-5,09844;-42,73891
732;1191;EXTX.931695;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;26/04/2018;Rue du Vieux Pont de SEVRES, 92100 BOULOGNE BILLANCOURT;48,8310966;2,2410646
733;1709;EXTX.931795;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;19/04/2019;73 Avenue DENFERT ROCHEREAU, 75014 PARIS 14;6,94389;124,32611
734;1153;EXTX.931155;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;02/04/2018;370-378 Avenue de la République, 94550 CHEVILLY LARUE;48,7607833;2,3649218
735;1207;EXTX.931640;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;15/05/2018;Avenue de la République, 94550 CHEVILLY LARUE;48,7607833;2,3649218
737;1623;EXTX.932030;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;27/02/2019;ZAC Anatole FRANCE, 94550 CHEVILLY LARUE;48,763587;2,364626
738;3517;EXTX.463053;COLAS/COLAS;0 à 50 km;Traité;05/06/2023;l’Avenue de Gribeauval, ZAC Satory Ouest (78), 78000 VERSAILLES;48,8;2,1333
741;4013;EXTX.484003;COLAS/COLAS;0 à 50 km;Traité;02/11/2023;31 RUE JULES MICHELET, 92700 COLOMBES;48,9322626;2,2706254
742;1178;EXTX.931685;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;28/05/2018;84 Rue Denis PAPIN, 92700 COLOMBES;48,9178734;2,2554371
743;1223;EXTX.931700;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;24/05/2018;308 rue de la carrière, 93250 VILLEMOMBLE;48,8830338;2,50414
744;1240;EXTX.930875;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/06/2018;8 Rue LABOURET, 92700 COLOMBES;48,9270009;2,2546822
745;1247;600002079;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;30/06/2018;7 Avenue Jean JAURES, 93330 NEUILLY SUR MARNE;48,864;2,549695
746;1888;EXTX.931845;COLAS/COLAS;0 à 50 km;Traité;15/09/2019;avenue victoria, 75004 PARIS 04;48,8568394;2,3509449
747;3790;EXTX.471316;COLAS/COLAS;0 à 50 km;Traité;05/06/2023;RUE SALVADOR ALLENDE ET ALLEE HENRI MATISSE , 76140 LE PETIT QUEVILLY;36,45833;7,51389
748;1335;EXTX.931530;COLAS/COLAS;0 à 50 km;Archivé;21/12/2017;Autodrome de Linas, 91310 LINAS;48,622442;2,2408763
749;1488;EXTX.931730;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;26/11/2018;Rue Paul FORT , 91310 MONTLHERY;48,6406315;2,2679857
750;3534;EXTX.449282;COLAS/COLAS;0 à 50 km;Traité;01/07/2023;167 boulevard Maxime Gorki, au droit du boulevard Maxime Gorki , et de la rue  Jean Lurçat, 94800 VILLEJUIF , 94800 VILLEJUIF;56,32867;44,00205
752;1136;EXTX.931590;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;26/03/2018;Avenue de la République, RD50, 91230 MONTGERON;48,7054;2,4504
753;3631;EXTX.469193;COLAS/COLAS;0 à 50 km;Traité;05/06/2023;11 boulevard de Sébastopol , 75001 PARIS 01;48,8592;2,3417
754;1592;EXTX.931760;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;30/01/2019;Rue du Berger, 91320 WISSOUS;48,7198277;2,3363572
755;1667;EXTX.931785;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;02/04/2019;Station CHATELET, 75001 PARIS 01;48,8592;2,3417
756;1471;EXTX.931725;COLAS/COLAS;Zone IDF 0 à 50 km;Traité;05/12/2018;61 Rue de la CHAPELLE, 75018 PARIS 18;56,51417;8,48996
757;1632;EXTX.931890;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;02/09/2019;62 Rue Jeanne d'ARC, 75013 PARIS 13;48,8322;2,3561
758;2043;EXTX.931905;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;16/06/2020;Jardin de la Ville – Rue de Gisors , 95300 PONTOISE;49,1013;2,1324
759;1539;EXTX.932015;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;07/01/2019;Avenue de la Division LECLERC, 92400 COURBEVOIE;48,8940893;2,2410668
760;1152;600002042;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/05/2018;Place du Général de Gaulle, 77360 VAIRES SUR MARNE;48,8747603;2,6393052
761;1642;EXTX.931775;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;25/03/2019;1 Route du FORT, 95580 ANDILLY;49,0123108;2,3031834
762;1436;600002111;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/04/2019;Avenue de la Porte des Ternes, 75017 PARIS 17;46,055;29,28889
763;2231;COL9275;COLAS/COLAS;0 à 50 km;Traité;19/10/2020;Avenue Général de Gaulle, 92800 PUTEAUX;48,8834;2,2389
764;3362;EXTX.443714;COLAS/COLAS;0 à 50 km;Traité;31/10/2022;24, boulevard Pierre Gaudin, CHANTIER COLAS - QUARTIER MICHELET, 92800 PUTEAUX;48,8834;2,2389
765;2234;EXTX.COL7849;COLAS/COLAS;0 à 50 km;Traité;28/09/2020;1141 RUE DE BERNAU , 94500 CHAMPIGNY SUR MARNE;48,8172428;2,5224192
766;1591;EXTX.931755;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;30/01/2019;88 Quai de Charles PASQUA, 92300 LEVALLOIS PERRET;48,8939;2,2886
767;1275;600002085;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;02/07/2018;RD 74, 92340 BOURG LA REINE;48,7789;2,3178
768;1234;EXTX.931675;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/06/2018;54 Quai de la Râpée, 75599 PARIS CEDEX 12;18,3;-74,16667
770;1417;EXTX.931710;COLAS/COLAS;101 à 150 km;Archivé;03/10/2018;Le Beau Regard, 76220 FERRIERES EN BRAY;49,4652703;1,755493
771;3385;EXTX.416626;COLAS/COLAS;0 à 50 km;Archivé;31/10/2022;74 RUE SAINT JUST DES MARAIS, 60000 BEAUVAIS;49,4349322;2,0556336
772;1218;600002068;COLAS/COLAS;0 à 50 km;Archivé;01/06/2018;AVENUE DU TAILLAN , 33320 EYSINES;44,8733721;-0,634388
773;1281;EXTX.931715;COLAS/COLAS;0 à 50 km;Archivé;03/09/2018;Avenue des loges sur parking ONF, A l’angle de la Route du Houx et RD157, 78100 ST GERMAIN EN LAYE;34,19801;-118,26102
775;1484;EXTX.931805;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;01/05/2019;125 Boulevard de Stalingrad, 94400 VITRY SUR SEINE;48,800888;2,379284
776;1330;600002100;COLAS/COLAS;0 à 50 km;Archivé;10/09/2018;19 Avenue de la Division Leclerc, 92800 PUTEAUX;48,8922699;2,240916
777;1144;EXTX.931610;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;03/04/2018;139 Rue d'Estienne d'Orves, Bâtiment 5, 91370 VERRIERES LE BUISSON;48,7403831;2,2564539
778;1145;EXTX.931615;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;19/04/2018;18 Rue du Commandant MOWAT, 94300 VINCENNES;48,8489848;2,4459425
779;1267;EXTX.931680;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;25/06/2018;avenue de la porte de la plaine, 75015 PARIS 15;48,8412;2,3003
785;286;315070;BBCSO/SO/BDX;0 à 50 km;Archivé;21/03/2016;4 avenue Pierre Barre, 33440 Ambares Et Lagrave;44,9280791;-0,4839449
786;2068;022X.120030;BBCSO/CO/ORLS;0 à 50 km;Traité;01/07/2020;Rue d'yèvre, 45300 DADONVILLE;48,1671392;2,2618402
789;757;022X.117420;BBCSO/CO/ORLS;101 à 150 km;Archivé;17/07/2017;Rue pasteur , 91310 MONTLHERY;48,640633;2,2770769
791;1293;022X.319020;BBCSO/SO/BDX;0 à 50 km;Archivé;03/02/2020;34 route de cavignac, 33620 MARSAS;45,1008;-0,3898
792;1785;022X.120020;BBCSO/CO/ORLS;0 à 50 km;Traité;20/07/2020;Rue de Segrey, 45300 PITHIVIERS;48,1477;2,368
793;1238;570X.OU1805;TP RF/TPRF ONE;101 à 150 km;Archivé;14/01/2019;RD402, 14460 COLOMBELLES;49,2049;-0,2957
797;2702;022X.421060;BBCSO/SO/TLSE;0 à 50 km;Traité;01/06/2022;Allée du Val d'Aran, 31770 COLOMIERS;43,6128467;1,3275846
798;597;B09X.PS0498;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;04/09/2017;Rue Pablo Picasso, 77380 Combs La Ville;48,6563581;2,5616761
799;3309;EXTX443852;COLAS/COLAS;0 à 50 km;Traité;04/08/2022;RUE DES MEUNIERS, 91360 EPINAY SUR ORGE;48,6703292;2,3265836
801;1086;BZNX.BIF PH0012;BZ/BAT;Zone IDF 0 à 50 km;Archivé;09/04/2019;RUE COUR GUYNEMER, 60200 COMPIEGNE;49,4179;2,8261
802;3814;B09X.PH0071;HAS/HAS REHA;51 à 100 km;Traité;10/07/2023;Avenue de la Somme, 60200 COMPIEGNE;49,4018684;2,8259787
804;4010;B09X.PH0073;HAS/HAS REHA;Zone IDF 50 à 100 km;Traité;05/11/2023;2 square Hector Berlioz , 60200 COMPIEGNE;49,4100444;2,8066588
807;3552;B09X.PH0068;HAS/HAS REHA;51 à 100 km;Traité;31/07/2023;1, 3 rue Berlioz, 60200 COMPIEGNE;49,4179;2,8261
809;2902;020X.123010;BBSE/HR/HR RAAU;51 à 100 km;Traité;01/08/2023;2 avenue du gresivaudan, 38700 CORENC;45,2096562;5,7620497
810;3084;BZNX.226282;BZ/BZ SE;0 à 50 km;Traité;14/03/2022;10 Rte de Seine, 95530 Cormeilles-en-Parisis;48,9549427;2,1782615
811;2476;BZNX.226261;BZ/BZ SE;0 à 50 km;Archivé;01/03/2021;Route de Seine, 95240 CORMEILLES EN PARISIS;48,9549427;2,1782615
813;1767;024X.BCA907;BBGO/NormPIC/Caen;101 à 150 km;Archivé;02/03/2020;6 Rue Jontchets, 14123 CORMELLES LE ROYAL;49,1485;-0,3751
816;238;024X.CO0000;BBGO/SQU;151 à 200 km;Archivé;07/02/2017;Rue Jean Cocteau, 72190 Coulaines;48,0295506;0,201068
818;1813;B11X.PE0114;REP/REP;0 à 50 km;Archivé;26/06/2019;13 AV DUBONNET , 92400 COURBEVOIE;48,9019561;2,2618922
819;3560;B11X.PE0141;REP/REP;Zone IDF 0 à 50 km;Traité;10/04/2023;1 rue Sainte Marie, 92400 COURBEVOIE;48,8933389;2,2583924
820;372;PC0074;CPI/CPI;Zone IDF 0 à 50 km;Archivé;01/09/2016;2 boulevard de Neuilly, 92400 Courbevoie;48,887909;2,2526741
821;3063;B11X.PE0142;REP/REP;Zone IDF 0 à 50 km;Traité;04/03/2024;18 rue du capitaine Guynemer, 92400 COURBEVOIE;48,8967964;2,2457724
823;881;S17X.PE0088;REP/REP;Zone IDF 0 à 50 km;Archivé;02/11/2017;14 Avenue DUBONNET, 92400 COURBEVOIE;48,9019561;2,2618922
827;745;B33X.PR0172;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;12/03/2018;Boulevard de la Mission Marchand, 92400 COURBEVOIE;48,8946176;2,2407912
828;250;866305;BZ/BAT;Zone IDF 0 à 50 km;Archivé;11/04/2017;80-88 Boulevard Mission Marchand, , 92400 Courbevoie  ;48,8986604;2,2401051
830;2836;B08X.PR0233;HAR/HAR/HAR;0 à 50 km;Traité;15/09/2022;3 Passage Louis THUILLIER , 92400 COURBEVOIE;48,9003804;2,2526807
831;3920;020X.123020;BBSE/HR/HR RAAU;101 à 150 km;Archivé;04/09/2023;rue du rocher, 73120 courchevel;45,4148138;6,6348241
833;3405;020X.133010;BBSE/OF/OF RAAU;151 à 200 km;Traité;01/12/2023;D212 / Rue de Sarliève , 63800 COURNON D AUVERGNE;45,739881;3,1648566
834;174;BEV602-DV;BBGO/NormPIC/Réha;0 à 50 km;Archivé;10/10/2016;Rue de verdun, 76160 DARNETAL;49,4425338;1,1447464
835;175;BEV602-DE;BBGO/NormPIC/Réha;0 à 50 km;Archivé;05/09/2016;Rue de verdun, 76250 Deville Les Rouen;49,4623111;1,0567577
836;167;BEV602-PC;BBGO/NormPIC/Réha;0 à 50 km;Archivé;13/02/2017;Rue du bel air, 76650 Petit Couronne;49,3810408;1,029817
837;170;BEV602-PQ;BBGO/NormPIC/Réha;0 à 50 km;Archivé;24/07/2017;Rue Paul LANGEVIN, 76140 Le Petit Quevilly;49,414339;1,0700082
838;26;BLH602-CB;BBGO/NormPIC/Le Havre;51 à 100 km;Archivé;07/09/2016;Rue Henrette Pesle, 76600 Le Havre;49,4938;0,1077
839;2204;020X.222010;BBSE/OF/OF RAAU;151 à 200 km;Traité;23/01/2023;rue de la géline, 74380 CRANVES SALES;46,1864568;6,2804865
841;2922;B09X.PS0642;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;03/07/2023;Rue du Port, 60100 CREIL;49,2603551;2,4671899
847;1532;024X.BAN802;BBGO/PDL/Angers;51 à 100 km;Archivé;22/04/2019;49000 ANGERS;47,4739884;-0,5515588
850;1514;024X.BBE901;BBGO/NormPIC/Beauvais;101 à 150 km;Archivé;01/04/2019;27 rue Sadi CARNOT , 60800 CREPY EN VALOIS;49,2354;2,8577
851;2994;570X.OU2201;TP RF/TPRF ONE;51 à 100 km;Archivé;12/09/2022;Pré de Bas, 49.248937, 0.015644, 14430 CRESSEVEUILLE;49,2313;-0,0445
852;2035;B09X.PS0580;HAS/HAS NEUF;0 à 50 km;Archivé;01/07/2020;rue maurice déménitroux, 94000 CRETEIL;48,7877666;2,4556824
853;1006;S17X.PE0090;REP/REP;Zone IDF 0 à 50 km;Archivé;01/02/2018;93 - 95  Avenue du Général DE GAULLE, 94000 CRETEIL;48,7831744;2,4530724
854;1204;B09X.PS0544;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;03/09/2018;43 Rue du Jeu de Paume, 94000 CRETEIL;48,7774846;2,4604661
858;742;B08X.PR0169;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;02/10/2017;6 chemin des meches, 94000 CRETEIL;48,785035;2,438913
859;657;Z41X.PC0083;CPI/CPI;Zone IDF 0 à 50 km;Archivé;15/01/2018;110, Avenue du Général de Gaulle, 94000 Créteil;48,7798;2,45643
860;2855;B09X.PS0607;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;01/01/2022;12 Rue Déménitroux, 94000 CRETEIL;48,791106;2,465971
861;2625;B09X.PS0630;HAS/HAS NEUF;0 à 50 km;Traité;01/03/2023;13 Rue Henri CARDINAUD, 94000 CRETEIL;48,7818012;2,4661812
863;1289;BZNX.222114;IEP/IEP;0 à 50 km;Archivé;27/08/2018;11 Rue Valpeau, Gare RER Croix de Berny, 92160 ANTONY;48,75;2,3
865;990;022X.417180;BBCSO/SO/TLSE;0 à 50 km;Archivé;23/11/2017;118 ROUTE DE NARBONNE, 31400 TOULOUSE;43,5563945;1,4670985
866;2776;570X.OU2103;TP RF/TPRF ONE;151 à 200 km;Archivé;21/06/2022;Rue du Pressoir, 02880 CROUY;49,4231;3,3713
867;305;505040;BBCSO/SO/REOL;51 à 100 km;Archivé;14/05/2007;Mongauzy - CS 50069, 33191 LA REOLE;44,58201;-0,03691
869;3876;570X.SO2306;TP RF/VSL FR;151 à 200 km;Traité;02/10/2023;Avenue du Périgord, 24390 CHERVEIX CUBAS;45,2916857;1,124351
871;3035;027X.HN2202;BBNE/Hab/HAR Est;201 à 250 km;Traité;15/05/2023;avenue François Mitterrand, 02880 CUFFIES;49,3981075;3,3271066
872;1843;833X.370511;BYES T&D;101 à 150 km;Archivé;06/08/2019;Chemin de Poupry, 28140 DAMBRON;48,1933;1,7391
873;82;BPN603;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;05/01/2017;Rue des belges, 76160 DARNETAL;49,4437515;1,150451
874;2283;024X.HTS20A;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;01/11/2020;Rue du champs aux oiseaux, 76160 DARNETAL;49,4667;1,1833
875;159;BR1603;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;02/01/2017;Rue du panorama, 76160 Darnétal;49,4409062;1,151659
877;3170;024X.HTS22C;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Traité;13/06/2022;1/3 Rue du 8 mai 1945, 76160 DARNETAL;49,4423393;1,1474891
878;2376;024X.HHR21A;BBGO/NormPIC/Réha;0 à 50 km;Traité;30/08/2021;Rue Jules FERRY, Voisin Logeo Seine, 76160 DARNETAL;49,4667;1,1833
881;437;022X.420070;BBCSO/SO/BDX;151 à 200 km;Archivé;15/06/2021;Rue frédéric mistral, 40100 DAX;43,7037119;-1,0602656
882;2051;024X.HTS20B;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;14/04/2020;8 Rue des Vallots, 27400 LOUVIERS;49,2049703;1,1506412
883;1831;EXTX.931840;COLAS/COLAS;0 à 50 km;Archivé;15/07/2019;73 Avenue Denfert Rochereau , 73 AVENUE DENFERT ROCHEREAU, 75014 PARIS 14;32,7673;-96,7776
889;1750;G07X.453352;BBSE/SEP SE;101 à 150 km;Archivé;23/09/2019;136 La Roche Marguerite, DGA Maîtrise de l’information , 35131 BRUZ;48,0392;-1,7053
890;677;024X.BR1706;BBGO/NormPIC/Rouen;51 à 100 km;Archivé;16/01/2018;Avenue Gambetta, 76200 DIEPPE;49,9228169;1,0731254
893;2745;024X.HHR22C;BBGO/NormPIC/Réha;51 à 100 km;Traité;23/01/2023;Allée des Ormes,  76200  Dieppe;49,9064678;1,0817835
894;3974;027X.HR2302;BBNE/Hab/HAR Est;0 à 50 km;Traité;05/10/2023;2, rond de Chauffours, 54380 DIEULOUARD;48,8338;6,0137
895;2649;027X.ON2200;BBNE/OF/OF Est;51 à 100 km;Traité;07/03/2022;avenue Françoise GIROUD, 21000 DIJON;47,359927;5,0543027
897;2789;027X.bis IE2101;BBNE/OF/OF Est;101 à 150 km;Traité;01/12/2021;ZAE de Boulouze, 21110 FAUVERNEY;47,2059;5,2224
898;2683;027X.IE2101;BBNE/OF/OF Est;101 à 150 km;Traité;08/11/2021;rue Charles Terrot, ZAE du Bois Guillaume, 21850 ST APOLLINAIRE;47,3333;5,0833
900;3557;027X.HR2104;BBNE/Hab/HAR Est;51 à 100 km;Traité;06/02/2023;13, allée des Landes, 21000 DIJON;47,3219955;4,9971687
901;114;226160;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;13/01/2017;128 rue de beauvais, 60280 Margny les Compiègne;49,4181906;2,8147245
903;2645;024X.BCA21C;BBGO/NormPIC/Caen;101 à 150 km;Archivé;23/08/2021;61 Rue du port, 14160 DIVES SUR MER;49,2924319;-0,0922601
904;3460;Z32X.DOBALA;IEP/IEP;Zone IDF 0 à 50 km;Archivé;07/12/2022;26 bd Victor Hugo, 75015 PARIS 15;48,8412;2,3003
905;2790;027X.OR2102;BBNE/OF/OF Est;51 à 100 km;Traité;14/02/2022;73, avenue Léon Jouaux, hôpital Louis PASTEUR, 39100 DOLE;47,1274;5,5019
906;83;BOF601-DO;BBGO/NormPIC/OF industrie;51 à 100 km;Archivé;15/12/2016;Rue Louis Blériot, 76600 Le Havre;49,522682;0,0885151
908;2092;570X.VL2001;TP RF/CSO;51 à 100 km;Archivé;03/08/2020;Lieu dit Bonne Nouvelle, 44480 DONGES;47,3182;-2,0754
910;2896;024X.PNA22F;BBGO/PDL/Nantes;51 à 100 km;Archivé;05/09/2022;La Plateforme de Donges, RD 100, 44480 DONGES;47,3182;-2,0754
911;3172;N19X.LDON00;BBSE/OF/OF PALR;101 à 150 km;Traité;22/08/2022;rue gustave eiffel , 26290 DONZERE;44,4477861;4,7455208
912;3311;027X.HN2301;BBNE/Hab/Hab Nord;0 à 50 km;Traité;18/03/2024;337,  avenue de Twickenham, 59500 DOUAI;50,3612154;3,0810079
913;2570;027X.ON2104;BBNE/Hab/Hab Nord;0 à 50 km;Archivé;22/11/2021;rue Ludwig van Beethoven, 59500 DOUAI;50,37457;3,0942634
914;3077;024X.BBR23A;BBGO/OUEST/Brest;201 à 250 km;Traité;11/12/2023;Rue Maréchal Leclerc, 29100 DOUARNENEZ;48,0828496;-4,3230485
917;1963;B09X.PH0034;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;30/10/2019;22 Rue Saint Stenay, 93700 DRANCY;48,92184;2,4228244
921;2227;024X.HHN21A;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;21/02/2022;Rue Gustave Flaubert, 76480 DUCLAIR;49,4870956;0,8816173
922;3651;Z32X.PO0214;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;21/04/2023;: 3 rue Sébastien et Jacques Lorenzi, , Site AIRBUS HELICOPTERS, 93440 DUGNY;34,7457;-120,2049
923;1453;024X.BAN903;BBGO/PDL/Angers;51 à 100 km;Archivé;02/09/2019;square Dumont d'Urville, 49000 ANGERS;47,4443841;-0,558325
929;180;BEV601;BBGO/NormPIC/Réha;51 à 100 km;Archivé;17/02/2016;avenue Edmond Demolins / D924 / D674, 27130 VERNEUIL SUR AVRE;48,7024;0,8544
930;301;420433;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;22/02/2017;Route de Saclay, 91128 PALAISEAU;48,7321679;2,1903061
933;2070;833X.ETD 30T758;BYES T&D;101 à 150 km;Archivé;05/03/2020;23 Bis Route de la pomme, 36100 ISSOUDUN;46,9499984;2,0116506
