;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
1850;2592;Z32X.PO0161;EQUIPEMENTS PUBLICS/EQUIPEMENTS PUBLICS/EQUIP PUBLIC :  Etat & administrations;0 à 50 km;Traité;13/12/2021;Boulevard blaise pascale, 93160 NOISY LE GRAND;48,8498;2,5627
1852;517;PR0161;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;27/08/2017;39-53 rue de Paris , 93130  Noisy-le-Sec;48,9035926;2,4691889
1853;919;024X.IEN802;BBGO/NormPIC/OF industrie;51 à 100 km;Archivé;01/08/2020;Route de Villequier, 76330 NORVILLE;49,5015976;0,6528067
1856;4072;333X.090178;BCSN;0 à 50 km;Traité;14/12/2023;cadarache, 13108 saint paul lez durance;43,7089153;5,7398667
1857;240;024X.NO0000;BBGO/SQU;151 à 200 km;Archivé;10/02/2017;Port Sainte-Marie, 72430 Noyen Sur Sarthe ;47,8186719;-0,0911229
1858;211;222100;BZ/GCI;0 à 50 km;Archivé;01/11/2016;Zac du Mont Renaud, 1 avenue de Paris, 60400 NOYON;49,5711185;2,9781359
1861;2605;024X.HHR21C;BBGO/NormPIC/Réha;0 à 50 km;Traité;01/08/2022;Avenue des Bruyères, 76350 OISSEL;49,3536715;1,0957702
1863;2449;G07X.G11X.452852;BBSE/OF/OF PALR;51 à 100 km;Traité;28/03/2022;2068 avenue Aristide briand, 83190 OLLIOULES;43,1196094;5,8867969
1864;2839;020X.693040;BBSE/HR/HR PALR;51 à 100 km;Traité;19/02/2024;26 rue maurice thorez, 84100 ORANGE;44,1313162;4,8019486
1865;1920;024X.BCA901;BBGO/NormPIC/Caen;51 à 100 km;Archivé;31/10/2019;Avenue de la gare, Au bout de l'avenue, 14290 ORBEC;49,053;0,2978
1867;416;022X.117470;BBCSO/CO/ORLS;0 à 50 km;Archivé;15/11/2017;rue des Oseraies, 45000 ORLEANS;47,8808677;1,9013696
1868;1357;570X.VL1803;TP RF/CSO;0 à 50 km;Archivé;07/01/2019;Autoroute A10, 45000 ORLEANS;48,0929629;2,0984351
1869;1786;022X.120080;BBCSO/CO/ORLS;0 à 50 km;Archivé;03/05/2021;3 Avenue des droits de l'homme, chantier les archives, 45000 ORLEANS;47,90289;1,90389
